ID,school,creche,gender,date,asidlale,echs,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,read_book,score14
52,Nobanda,uThando,F,2/6/13,0,NA,2013,2,3,2,3,3,3,2,2,3,1,2,2,3,3,,,,,,34
53,Nobanda,none,F,2/6/13,0,NA,2013,2,3,2,3,2,3,2,1,1,1,1,1,3,3,,,,,,28
54,Nobanda,none,M,2/6/13,0,NA,2013,3,3,2,2,3,3,3,1,3,1,3,3,3,3,,,,,,36
55,Nobanda,none,M,2/6/13,0,NA,2013,2,3,2,1,3,1,1,1,1,1,2,1,2,3,,,,,,24
56,Nobanda,Gauteng,M,2/6/13,0,NA,2013,3,3,2,2,3,3,3,1,3,3,3,3,3,3,,,,,,38
57,Nobanda,uThando,M,2/6/13,0,NA,2013,1,3,2,2,1,1,3,1,1,1,2,1,1,1,,,,,,21
58,Nobanda,Mdunge,M,2/6/13,0,NA,2013,2,3,2,1,3,2,3,1,3,3,1,3,3,3,,,,,,33
59,Nobanda,Nathu Creche,M,2/6/13,0,NA,2013,2,3,3,3,3,3,3,1,3,1,1,3,3,1,,,,,,33
60,Nobanda,uThando,M,2/6/13,0,NA,2013,1,3,2,2,3,3,2,1,1,1,2,2,3,3,,,,,,29
61,Mabane,Siyazama,F,21/1/14,1,NA,2014,2,3,3,3,2,2,3,2,3,2,3,1,1,3,,,,,,33
62,Mabane,Sbukosezwe,F,21/1/14,1,NA,2014,3,3,3,3,3,3,2,2,3,3,3,3,1,3,,,,,,38
63,Mabane,Sbukosezwe,F,21/1/14,1,NA,2014,2,3,3,3,3,3,3,2,3,1,3,3,3,3,,,,,,38
64,Mabane,Sbukosezwe,F,21/1/14,1,NA,2014,3,3,3,3,1,3,3,2,3,1,3,3,3,3,,,,,,37
65,Mabane,Nakekelo,F,21/1/14,1,NA,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,42
66,Mabane,Sbukosezwe,F,21/1/14,1,NA,2014,2,3,3,3,1,2,2,3,3,1,3,1,2,3,,,,,,32
67,Mabane,Sbukosezwe,F,21/1/14,1,NA,2014,3,3,3,3,2,2,3,2,3,2,3,3,2,3,,,,,,37
68,Mabane,Sbukosezwe,F,21/1/14,1,NA,2014,3,3,3,2,3,3,2,2,3,2,3,3,2,3,,,,,,37
69,Mabane,Sbukosezwe,M,21/1/14,1,NA,2014,3,3,3,1,3,1,3,3,3,1,3,2,2,3,,,,,,34
70,Mabane,Sbukosezwe,M,21/1/14,1,NA,2014,3,2,3,2,2,3,2,2,3,1,3,1,3,3,,,,,,33
71,Mabane,Sbukosezwe,M,31/1/14,1,NA,2014,1,3,3,2,3,2,3,2,3,1,3,3,2,3,,,,,,34
72,Mabane,Nakekelo,M,21/1/14,1,NA,2014,2,3,3,2,3,2,3,2,3,1,2,1,3,3,,,,,,33
73,Mabane,Nakekelo,M,21/1/14,1,NA,2014,2,3,2,2,3,3,3,2,3,3,3,3,3,3,,,,,,38
74,Mabane,Sbukosezwe,M,21/1/14,1,NA,2014,2,3,3,3,3,3,3,2,3,3,3,3,2,3,,,,,,39
75,Mabane,Nakekelo,M,21/1/14,1,NA,2014,2,3,3,2,2,2,2,2,3,1,2,2,3,3,,,,,,32
76,Nobanda,Raphs,F,25/1/14,1,NA,2014,3,3,3,3,2,2,2,3,3,2,3,3,2,2,,,,,,36
