ID,school,creche,gender,asidlale,age_months,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,score14
22,Nobanda,Kwanomusa,F,1,53,2013,2,3,3,3,2,3,2,3,3,1,1,3,3,2,,,,,34
23,Nobanda,Raphs,M,1,59,2013,3,3,2,2,2,2,3,1,3,2,3,3,3,3,,,,,35
24,Nobanda,Raphs,M,1,61,2013,3,3,3,2,3,2,3,2,3,3,3,3,2,3,,,,,38
25,Nobanda,Kwanomusa,M,1,53,2013,2,3,3,1,2,3,3,2,3,1,2,3,2,2,,,,,32
26,Nobanda,Kwanomusa,M,1,55,2013,2,2,2,3,1,2,1,1,1,1,2,1,3,1,,,,,23
27,Nobanda,Kwanomusa,M,1,60,2013,1,2,2,2,3,3,3,2,3,1,3,2,3,3,,,,,33
28,Nobanda,Raphs,F,1,66,2013,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,42
29,Nobanda,Kwanomusa,M,1,66,2013,2,3,2,3,3,3,3,1,2,1,2,2,2,2,,,,,31
30,Nobanda,Kwanomusa,M,1,63,2013,2,3,2,1,3,2,2,2,2,2,2,1,2,3,,,,,29
31,Nobanda,Kwanomusa,F,1,59,2013,2,3,3,3,3,3,3,1,3,3,3,3,3,3,,,,,39
32,Mabane,none,F,0,61,2013,2,3,2,1,3,1,3,3,3,1,1,3,1,3,,,,,30
33,Mabane,Athandweni,F,0,55,2013,2,2,2,3,3,3,1,1,3,2,3,2,2,3,,,,,32
34,Mabane,uThando,F,0,58,2013,2,3,3,3,3,3,3,1,1,1,1,3,2,2,,,,,31
35,Mabane,Hem-hem Creche,F,0,61,2013,3,3,3,3,3,3,1,3,3,2,3,3,2,3,,,,,38
36,Mabane,none,F,0,66,2013,2,3,3,3,3,3,3,1,3,3,2,3,3,3,,,,,38
37,Mabane,none,F,0,56,2013,3,3,3,2,1,2,2,3,1,1,1,1,2,1,,,,,26
38,Mabane,none,F,0,51,2013,3,3,3,3,3,3,1,1,1,1,3,1,1,3,,,,,30
39,Mabane,none,F,0,58,2013,3,3,3,3,3,3,3,3,2,1,3,3,2,3,,,,,38
40,Mabane,none,M,0,55,2013,1,3,1,1,1,1,2,1,3,1,1,1,1,1,,,,,19
41,Mabane,none,M,0,61,2013,2,3,1,2,3,2,2,2,3,1,2,3,2,3,,,,,31
42,Mabane,none,M,0,60,2013,2,3,2,2,2,3,2,1,3,2,1,3,3,3,,,,,32
43,Mabane,none,M,0,55,2013,2,3,2,2,2,3,2,1,3,2,1,3,3,3,,,,,32
44,Mabane,none,M,0,57,2013,2,3,2,3,3,3,2,1,3,1,1,1,3,3,,,,,31
45,Mabane,none,M,0,59,2013,1,1,1,2,1,2,3,1,2,1,3,1,1,1,,,,,21
46,Mabane,none,M,0,53,2013,1,1,1,1,1,1,2,1,2,1,1,1,2,3,,,,,19
47,Nobanda,uThando,M,0,64,2013,2,3,2,1,3,3,3,1,3,2,3,3,2,3,,,,,34
48,Nobanda,uThando,F,0,67,2013,3,3,2,3,3,3,2,2,3,2,3,3,3,3,,,,,38
49,Nobanda,none,F,0,65,2013,3,3,2,3,3,3,1,2,3,1,2,1,3,3,,,,,33
50,Nobanda,uThando,F,0,58,2013,2,3,2,3,3,3,2,1,3,1,1,1,3,1,,,,,29
51,Nobanda,Dutch,F,0,64,2013,1,3,1,3,3,3,1,1,3,1,2,3,2,3,,,,,30
52,Nobanda,uThando,F,0,58,2013,2,3,2,3,3,3,2,2,3,1,2,2,3,3,,,,,34
53,Nobanda,none,F,0,63,2013,2,3,2,3,2,3,2,1,1,1,1,1,3,3,,,,,28
54,Nobanda,none,M,0,67,2013,3,3,2,2,3,3,3,1,3,1,3,3,3,3,,,,,36
55,Nobanda,none,M,0,60,2013,2,3,2,1,3,1,1,1,1,1,2,1,2,3,,,,,24
56,Nobanda,Gauteng,M,0,63,2013,3,3,2,2,3,3,3,1,3,3,3,3,3,3,,,,,38
57,Nobanda,uThando,M,0,60,2013,1,3,2,2,1,1,3,1,1,1,2,1,1,1,,,,,21
